no of sites,inc mat,freq breakdown,inacc cost,satisfaction,delay rate
70,54,82,59,43,74.996
71,42,35,54,70,66.24199999999999
79,76,57,78,55,83.999
73,60,93,30,73,80.173
95,34,34,51,68,68.63499999999999
43,75,96,99,42,86.477
54,78,92,35,30,70.40299999999999
71,88,84,72,73,94.53099999999998
81,77,31,91,61,83.012
70,66,64,70,60,80.36999999999999
94,75,81,99,94,107.899
61,70,52,53,56,71.12899999999999
39,76,45,61,87,75.10000000000001
87,77,48,59,87,87.206
68,78,54,95,37,80.814
52,33,37,80,41,59.149
71,73,74,78,36,80.82399999999998
88,59,66,73,93,92.32
94,58,93,90,78,100.572
71,35,41,91,57,71.804
96,91,64,68,50,89.826
40,44,92,90,42,75.024
57,41,57,34,60,60.668000000000006
50,80,46,69,59,74.06599999999999
68,41,31,55,31,54.984
39,64,72,60,40,67.002
58,88,93,58,77,91.15899999999999
62,31,56,36,63,60.415
51,49,40,55,89,69.22800000000001
47,47,35,75,61,64.55199999999999
75,81,88,92,74,99.872
51,82,80,34,41,70.17699999999999
43,37,48,83,52,64.05499999999999
54,94,83,53,82,89.22500000000001
58,79,77,35,37,69.66999999999999
72,43,99,42,96,85.79799999999999
46,86,41,62,58,71.39599999999999
60,50,86,73,68,82.103
91,34,77,78,45,79.08500000000001
71,87,49,68,68,83.55
55,38,72,91,62,77.453
72,51,66,86,75,85.24499999999999
70,86,95,65,31,84.49399999999999
99,73,79,83,58,95.42499999999998
88,50,80,66,56,82.77399999999999
69,91,37,49,89,81.642
83,49,84,35,56,74.76299999999999
95,73,97,62,100,104.036
49,57,83,50,44,68.948
83,73,35,86,92,89.876
57,56,78,86,99,91.64299999999999
89,42,92,79,98,97.441
100,48,54,93,56,85.407
33,84,36,70,77,73.14099999999999
85,85,93,40,39,83.27700000000002
48,83,34,98,85,84.803
58,64,47,54,62,69.432
47,76,74,42,74,76.31
57,46,73,34,61,66.037
52,54,40,97,68,75.75099999999999
39,45,57,51,56,60.439
93,45,56,97,62,85.911
67,53,72,47,59,72.59
56,69,71,30,42,65.292
33,95,37,96,97,87.287
50,49,98,40,86,78.758
90,100,84,90,41,98.59100000000001
60,41,30,83,50,64.263
90,74,46,100,78,94.47
42,74,70,92,31,75.25099999999999
92,41,84,31,31,67.892
76,71,44,71,30,71.05499999999999
80,30,92,45,84,80.643
57,73,42,85,90,84.559
84,49,88,62,91,91.117
92,49,52,86,52,80.54599999999999
33,69,92,50,77,78.285
35,33,35,96,94,71.42
76,60,78,77,69,87.67999999999999
38,77,81,34,86,77.08000000000001
90,60,44,42,75,75.73700000000001
74,91,59,75,38,82.043
57,79,46,33,87,73.628
65,98,63,61,55,83.31199999999998
30,89,41,45,45,60.94
89,53,62,33,34,65.947
40,96,76,77,62,85.54899999999999
72,74,98,66,53,88.415
68,68,82,80,45,83.521
40,44,39,33,49,49.956
57,38,48,37,76,62.38900000000001
47,77,36,69,31,63.30799999999999
95,64,45,70,55,80.071
45,94,96,81,91,99.228
31,87,93,55,66,80.957
57,65,30,50,90,71.174
31,88,67,99,95,92.654
68,97,56,33,37,70.872
37,33,68,86,91,76.791
34,30,45,47,34,46.278999999999996
39,38,44,50,40,51.396
41,91,73,60,33,72.603
82,66,65,92,54,87.394
76,50,89,61,73,85.01599999999999
45,94,30,69,50,70.163
50,31,56,89,76,73.575
42,37,66,100,36,68.416
100,56,57,88,75,91.531
51,72,88,73,96,92.64099999999999
88,61,38,57,42,69.59299999999999
42,32,70,39,39,54.083999999999996
37,34,71,66,31,58.206999999999994
66,36,95,65,91,86.026
44,45,50,93,92,78.96700000000001
46,30,71,50,66,64.09599999999999
60,84,74,55,42,76.727
49,37,96,90,81,86.025
46,99,96,59,33,81.13399999999999
47,66,65,63,73,76.53199999999998
66,62,62,66,72,79.906
59,69,82,33,61,74.086
93,30,50,47,68,70.107
54,74,49,46,49,66.26299999999999
40,85,58,55,66,74.107
91,51,51,96,60,84.938
97,79,65,75,51,89.33
41,37,88,98,98,88.24600000000001
93,60,81,36,94,88.688
74,60,67,49,51,73.298
71,59,46,47,79,73.57799999999999
93,53,55,47,62,75.46900000000001
71,57,30,92,56,74.48599999999999
62,33,45,79,77,72.098
41,52,30,34,65,54.117
90,85,100,55,64,95.96499999999997
74,45,44,73,86,78.43299999999999
62,44,67,54,66,71.38
34,76,98,49,32,70.431
93,93,52,60,78,91.576
58,89,95,96,57,96.22500000000001
59,90,66,84,64,88.434
57,76,78,44,90,84.11200000000001
62,91,31,48,58,70.646
62,52,68,74,92,84.806
44,43,68,90,35,68.177
67,86,79,61,73,89.18199999999999
44,77,52,33,62,65.333
77,52,58,89,88,88.661
37,65,88,56,100,84.394
91,62,30,73,60,76.909
91,98,86,71,75,102.54599999999999
49,75,95,76,59,86.261
84,84,99,44,96,99.192
99,48,86,39,32,73.971
71,96,95,80,30,90.576
51,84,77,51,50,76.26899999999999
100,98,65,47,54,88.623
86,85,44,49,63,79.63
